B-y -9.844485675856319
M-uv -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-vn -4.331561089016359
M-o -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-n -1.696625779754833
S-w -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-ns -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-q -4.888658618255058
S-n -3.855148389764511
E-s -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-yg -13.533365129970255
E-v -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-z -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-ug -7.539403702663686
E-m -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-vq -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-bg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-bg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-jn -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-nr -2.231049591376951
S-k -6.940320595827818
M-uz -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-o -8.433498702146057
M-df -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-nrfg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-n -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-rr -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-tg -6.272842531880403
M-a -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-ad -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-ug -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-nz -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-ng -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-vq -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-ag -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-zg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-u -6.940320595827818
S-l -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-rg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-c -4.786966795861212
E-d -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-an -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-o -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-mq -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-vg -5.943018184367689
M-nz -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-rg -10.275268591948773
S-dg -8.948397651299683
M-q -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-mg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-ug -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-h -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-c -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-qe -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-vi -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-qg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-ns -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-ul -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-rr -12.434752841302146
B-f -5.491630418482717
E-t -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-vg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-uv -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-nrfg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-ln -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-in -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-ad -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-f -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-ud -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-bg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-i -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-a -4.762305214596967
E-ln -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-x -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-uv -8.158086722286090
M-w -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-s -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-jn -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-tg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-en -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-j -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-y -6.197079469948958
B-p -4.200984132085048
S-v -3.053292303412302
S-vn -11.453923588290419
M-rz -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-b -5.018374362109218
E-df -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-in -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-ng -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-s -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-mq -6.786953001396880
M-rr -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-uz -9.299258625372996
E-nr -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-uj -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-h -8.650563207383884
E-y -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-q -6.998123858956596
S-nr -4.483663103956885
M-dg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-qe -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-m -3.269200652116097
E-k -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-c -3.423880184954888
B-tg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-ag -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-z -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-mg -10.825314928868044
S-j -4.911992119644354
M-m -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-vq -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-ul -8.415371317553500
M-d -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-vd -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-ud -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-r -3.409818779081841
E-en -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-in -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-mq -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-zg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-d -3.975047529758536
M-mg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-rz -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-yg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-qg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-a -3.902539683129523
S-o -8.464460927750023
E-p -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-uz -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-e -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-jn -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-s -5.522673590839954
B-dg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-b -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-vq -12.147070768850364
B-e -8.563551830394255
M-t -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-l -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-nt -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-nrfg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-en -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-i -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-f -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-rz -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-t -3.364747909452857
S-rr -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-qg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-ag -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-uz -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-ad -11.048458480182255
S-uj -6.852510451180040
M-vn -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-r -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-d -3.903919764181873
E-e -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-u -9.163917277503234
B-j -5.057619128468192
B-ln -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-nz -3.946988460576720
B-nrfg -5.873722175405573
B-g -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-nrt -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-uj -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-yg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-ad -6.680066036784177
B-mg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-dg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-x -8.427419656069674
M-y -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-vi -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-uj -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-tg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-ag -6.954113917960154
E-ns -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-h -13.533365129970255
B-nt -4.846091668182416
S-vd -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-ln -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-t -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-u -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-nt -12.147070768850364
B-rz -7.946116471570005
E-w -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-an -8.697083223018778
E-vg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-mq -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-b -6.472888763970454
E-g -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-w -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-an -12.840217949410309
M-nr -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-n -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-yg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-g -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-i -6.115784727555710
E-ug -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-p -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-k -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-ns -2.822843831496921
M-b -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-f -5.194820249981676
B-x -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-vi -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-v -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-nrt -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-vd -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-ud -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-uv -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-df -8.888974230828882
E-in -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-r -2.763533678412785
B-rg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-v -2.674058487426568
S-i -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-ul -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-qg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-a -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
